NOMBRE_DEPTO;CODIGO_MUNICIPIO;NOMBRE_MPIO;Nombre
ANTIOQUIA;05088;BELLO;Bello
ANTIOQUIA;05129;CALDAS;Caldas
ANTIOQUIA;05212;COPACABANA;Copacabana
ANTIOQUIA;05266;ENVIGADO;Envigado
ANTIOQUIA;05308;GIRARDOTA;Girardota
ANTIOQUIA;05360;ITAGUI;Itagui
ANTIOQUIA;05380;LA ESTRELLA;La Estrella
ANTIOQUIA;05001;MEDELLÍN;Medellín
ANTIOQUIA;05631;SABANETA;Sabaneta
ARAUCA;81001;ARAUCA;Arauca
ARAUCA;81065;ARAUQUITA;Arauquita
ARAUCA;81220;CRAVO NORTE;Cravo Norte
ARAUCA;81300;FORTUL;Fortul
ARAUCA;81591;PUERTO RONDÓN;Puerto Rondón
ARAUCA;81736;SARAVENA;Saravena
ARAUCA;81794;TAME;Tame
ARCHIPIELAGO DE SAN ANDRES;88564;PROVIDENCIA Y SANTA CATALINA;Providencia Y Santa Catalina
ARCHIPIELAGO DE SAN ANDRES;88001;SAN ANDReS;San Andres
ATLÁNTICO;08001;BARRANQUILLA;Barranquilla
ATLÁNTICO;08296;GALAPA;Galapa
ATLÁNTICO;08433;MALAMBO;Malambo
ATLÁNTICO;08573;PUERTO COLOMBIA;Puerto Colombia
ATLÁNTICO;08758;SOLEDAD;Soledad
ATLÁNTICO;08137;CAMPO DE LA CRUZ;Campo De La Cruz
ATLÁNTICO;08141;CANDELARIA;Candelaria
ATLÁNTICO;08421;LURUACO;Luruaco
ATLÁNTICO;08436;MANATÍ;Manati
ATLÁNTICO;08606;REPELÓN;Repelon
ATLÁNTICO;08675;SANTA LUCÍA;Santa Lucia
ATLÁNTICO;08770;SUAN;Suan
ATLÁNTICO;08078;BARANOA;Baranoa
ATLÁNTICO;08520;PALMAR DE VARELA;Palmar De Varela
ATLÁNTICO;08558;POLONUEVO;Polonuevo
ATLÁNTICO;08560;PONEDERA;Ponedera
ATLÁNTICO;08634;SABANAGRANDE;Sabanagrande
ATLÁNTICO;08638;SABANALARGA;Sabanalarga
ATLÁNTICO;08685;SANTO TOMÁS;Santo Tomas
ATLÁNTICO;08372;JUAN DE ACOSTA;Juan De Acosta
ATLÁNTICO;08549;PIOJÓ;Piojó
ATLÁNTICO;08832;TUBARÁ;Tubara
ATLÁNTICO;08849;USIACURÍ;Usiacuri
BOGOTÁ D.C.;11001;BOGOTÁ;Bogota D.C.
BOLIVAR;13188;CICUCO;Cicuco
BOLIVAR;13300;HATILLO DE LOBA;Hatillo De Loba
BOLIVAR;13440;MARGARITA;Margarita
BOLIVAR;13468;MOMPÓS;Mompós
BOLIVAR;13650;SAN FERNANDO;San Fernando
BOLIVAR;13780;TALAIGUA NUEVO;Talaigua Nuevo
BOLIVAR;13052;ARJONA;Arjona
BOLIVAR;13062;ARROYOHONDO;Arroyohondo
BOLIVAR;13140;CALAMAR;Calamar
BOLIVAR;13001;CARTAGENA;Cartagena
BOLIVAR;13222;CLEMENCIA;Clemencia
BOLIVAR;13433;MAHATES;Mahates
BOLIVAR;13620;SAN CRISTÓBAL;San Cristobal
BOLIVAR;13647;SAN ESTANISLAO;San Estanislao
BOLIVAR;13673;SANTA CATALINA;Santa Catalina
BOLIVAR;13683;SANTA ROSA DE LIMA;Santa Rosa De Lima
BOLIVAR;13760;SOPLAVIENTO;Soplaviento
BOLIVAR;13836;TURBACO;Turbaco
BOLIVAR;13838;TURBANA;Turbana
BOLIVAR;13873;VILLANUEVA;Villanueva
BOLIVAR;13030;ALTOS DEL ROSARIO;Altos Del Rosario
BOLIVAR;13074;BARRANCO DE LOBA;Barranco De Loba
BOLIVAR;13268;EL PEÑON;El Peñon
BOLIVAR;13580;REGIDOR;Regidor
BOLIVAR;13600;RÍO VIEJO;Río Viejo
BOLIVAR;13667;SAN MARTÍN DE LOBA;San Martin De Loba
BOLIVAR;13042;ARENAL;Arenal
BOLIVAR;13160;CANTAGALLO;Cantagallo
BOLIVAR;13473;MORALES;Morales
BOLIVAR;13670;SAN PABLO;San Pablo
BOLIVAR;13688;SANTA ROSA DEL SUR;Santa Rosa Del Sur
BOLIVAR;13744;SIMITÍ;Simití
BOLIVAR;13006;ACHÍ;Achí
BOLIVAR;13430;MAGANGUÉ;Magangué
BOLIVAR;13458;MONTECRISTO;Montecristo
BOLIVAR;13549;PINILLOS;Pinillos
BOLIVAR;13655;SAN JACINTO DEL CAUCA;San Jacinto Del Cauca
BOLIVAR;13810;TIQUISIO;Tiquisio
BOLIVAR;13244;EL CARMEN DE BOLÍVAR;Carmen De Bolívar
BOLIVAR;13212;CÓRDOBA;Córdoba
BOLIVAR;13248;EL GUAMO;El Guamo
BOLIVAR;13442;MARÍA LA BAJA;María La Baja
BOLIVAR;13654;SAN JACINTO;San Jacinto
BOLIVAR;13657;SAN JUAN NEPOMUCENO;San Juan Nepomuceno
BOLIVAR;13894;ZAMBRANO;Zambrano
BOYACÁ;15232;CHÍQUIZA;Chíquiza
BOYACÁ;15187;CHIVATÁ;Chivatá
BOYACÁ;15204;CÓMBITA;Cómbita
BOYACÁ;15224;CUCAITA;Cucaita
BOYACÁ;15476;MOTAVITA;Motavita
BOYACÁ;15500;OICATÁ;Oicatá
BOYACÁ;15646;SAMACÁ;Samacá
BOYACÁ;15740;SIACHOQUE;Siachoque
BOYACÁ;15762;SORA;Sora
BOYACÁ;15764;SORACÁ;Soracá
BOYACÁ;15763;SOTAQUIRÁ;Sotaquirá
BOYACÁ;15814;TOCA;Toca
BOYACÁ;15001;TUNJA;Tunja
BOYACÁ;15837;TUTA;Tuta
BOYACÁ;15861;VENTAQUEMADA;Ventaquemada
BOYACÁ;15180;CHISCAS;Chiscas
BOYACÁ;15223;CUBARÁ;Cubará
BOYACÁ;15244;EL COCUY;El Cocuy
BOYACÁ;15248;EL ESPINO;El Espino
BOYACÁ;15317;GUACAMAYAS;Guacamayas
BOYACÁ;15332;GÜICÁN;Güicán
BOYACÁ;15522;PANQUEBA;Panqueba
BOYACÁ;15377;LABRANZAGRANDE;Labranzagrande
BOYACÁ;15518;PAJARITO;Pajarito
BOYACÁ;15533;PAYA;Paya
BOYACÁ;15550;PISBA;Pisba
BOYACÁ;15090;BERBEO;Berbeo
BOYACÁ;15135;CAMPOHERMOSO;Campohermoso
BOYACÁ;15455;MIRAFLORES;Miraflores
BOYACÁ;15514;PÁEZ;Páez
BOYACÁ;15660;SAN EDUARDO;San Eduardo
BOYACÁ;15897;ZETAQUIRA;Zetaquira
BOYACÁ;15104;BOYACÁ;Boyacá
BOYACÁ;15189;CIÉNEGA;Ciénega
BOYACÁ;15367;JENESANO;Jenesano
BOYACÁ;15494;NUEVO COLÓN;Nuevo Colón
BOYACÁ;15599;RAMIRIQUÍ;Ramiriquí
BOYACÁ;15621;RONDÓN;Rondón
BOYACÁ;15804;TIBANÁ;Tibaná
BOYACÁ;15835;TURMEQUÉ;Turmequé
BOYACÁ;15842;UMBITA;Umbita
BOYACÁ;15879;VIRACACHÁ;Viracachá
BOYACÁ;15172;CHINAVITA;Chinavita
BOYACÁ;15299;GARAGOA;Garagoa
BOYACÁ;15425;MACANAL;Macanal
BOYACÁ;15511;PACHAVITA;Pachavita
BOYACÁ;15667;SAN LUIS DE GACENO;San Luis De Gaceno
BOYACÁ;15690;SANTA MARÍA;Santa María
BOYACÁ;15097;BOAVITA;Boavita
BOYACÁ;15218;COVARACHÍA;Covarachía
BOYACÁ;15403;LA UVITA;La Uvita
BOYACÁ;15673;SAN MATEO;San Mateo
BOYACÁ;15720;SATIVANORTE;Sativanorte
BOYACÁ;15723;SATIVASUR;Sativasur
BOYACÁ;15753;SOATÁ;Soatá
BOYACÁ;15774;SUSACÓN;Susacón
BOYACÁ;15810;TIPACOQUE;Tipacoque
BOYACÁ;15106;BRICEÑO;Briceño
BOYACÁ;15109;BUENAVISTA;Buenavista
BOYACÁ;15131;CALDAS;Caldas
BOYACÁ;15176;CHIQUINQUIRÁ;Chiquinquirá
BOYACÁ;15212;COPER;Coper
BOYACÁ;15401;LA VICTORIA;La Victoria
BOYACÁ;15442;MARIPÍ;Maripí
BOYACÁ;15480;MUZO;Muzo
BOYACÁ;15507;OTANCHE;Otanche
BOYACÁ;15531;PAUNA;Pauna
BOYACÁ;15572;PUERTO BOYACÁ;Puerto Boyaca
BOYACÁ;15580;QUÍPAMA;Quípama
BOYACÁ;15632;SABOYÁ;Saboyá
BOYACÁ;15676;SAN MIGUEL DE SEMA;San Miguel De Sema
BOYACÁ;15681;SAN PABLO DE BORBUR;San Pablo Borbur
BOYACÁ;15832;TUNUNGUÁ;Tununguá
BOYACÁ;15022;ALMEIDA;Almeida
BOYACÁ;15236;CHIVOR;Chivor
BOYACÁ;15322;GUATEQUE;Guateque
BOYACÁ;15325;GUAYATÁ;Guayatá
BOYACÁ;15380;LA CAPILLA;La Capilla
BOYACÁ;15761;SOMONDOCO;Somondoco
BOYACÁ;15778;SUTATENZA;Sutatenza
BOYACÁ;15798;TENZA;Tenza
BOYACÁ;15051;ARCABUCO;Arcabuco
BOYACÁ;15185;CHITARAQUE;Chitaraque
BOYACÁ;15293;GACHANTIVÁ;Gachantivá
BOYACÁ;15469;MONIQUIRÁ;Moniquirá
BOYACÁ;15600;RÁQUIRA;Ráquira
BOYACÁ;15638;SÁCHICA;Sáchica
BOYACÁ;15664;SAN JOSÉ DE PARE;San José De Pare
BOYACÁ;15696;SANTA SOFÍA;Santa Sofía
BOYACÁ;15686;SANTANA;Santana
BOYACÁ;15776;SUTAMARCHÁN;Sutamarchán
BOYACÁ;15808;TINJACÁ;Tinjacá
BOYACÁ;15816;TOGÜÍ;Togüí
BOYACÁ;15407;VILLA DE LEYVA;Villa De Leyva
BOYACÁ;15047;AQUITANIA;Aquitania
BOYACÁ;15226;CUÍTIVA;Cuítiva
BOYACÁ;15272;FIRAVITOBA;Firavitoba
BOYACÁ;15296;GAMEZA;Gameza
BOYACÁ;15362;IZA;Iza
BOYACÁ;15464;MONGUA;Mongua
BOYACÁ;15466;MONGUÍ;Monguí
BOYACÁ;15491;NOBSA;Nobsa
BOYACÁ;15542;PESCA;Pesca
BOYACÁ;15759;SOGAMOSO;Sogamoso
BOYACÁ;15806;TIBASOSA;Tibasosa
BOYACÁ;15820;TÓPAGA;Tópaga
BOYACÁ;15822;TOTA;Tota
BOYACÁ;15087;BELÉN;Belén
BOYACÁ;15114;BUSBANZÁ;Busbanzá
BOYACÁ;15162;CERINZA;Cerinza
BOYACÁ;15215;CORRALES;Corrales
BOYACÁ;15238;DUITAMA;Duitama
BOYACÁ;15276;FLORESTA;Floresta
BOYACÁ;15516;PAIPA;Paipa
BOYACÁ;15693;SANTA ROSA DE VITERBO;San Rosa Viterbo
BOYACÁ;15839;TUTAZÁ;Tutazá
BOYACÁ;15092;BETÉITIVA;Betéitiva
BOYACÁ;15183;CHITA;Chita
BOYACÁ;15368;JERICÓ;Jericó
BOYACÁ;15537;PAZ DE RÍO;Paz De Río
BOYACÁ;15757;SOCHA;Socha
BOYACÁ;15755;SOCOTÁ;Socotá
BOYACÁ;15790;TASCO;Tasco
CALDAS;17272;FILADELFIA;Filadelfia
CALDAS;17388;LA MERCED;La Merced
CALDAS;17442;MARMATO;Marmato
CALDAS;17614;RIOSUCIO;Riosucio
CALDAS;17777;SUPÍA;Supía
CALDAS;17433;MANZANARES;Manzanares
CALDAS;17444;MARQUETALIA;Marquetalia
CALDAS;17446;MARULANDA;Marulanda
CALDAS;17541;PENSILVANIA;Pensilvania
CALDAS;17042;ANSERMA;Anserma
CALDAS;17088;BELALCÁZAR;Belalcázar
CALDAS;17616;RISARALDA;Risaralda
CALDAS;17665;SAN JOSÉ;San José
CALDAS;17877;VITERBO;Viterbo
CALDAS;17174;CHINCHINÁ;Chinchina
CALDAS;17001;MANIZALES;Manizales
CALDAS;17486;NEIRA;Neira
CALDAS;17524;PALESTINA;Palestina
CALDAS;17873;VILLAMARÍA;Villamaria
CALDAS;17013;AGUADAS;Aguadas
CALDAS;17050;ARANZAZU;Aranzazu
CALDAS;17513;PÁCORA;Pácora
CALDAS;17653;SALAMINA;Salamina
CALDAS;17380;LA DORADA;La Dorada
CALDAS;17495;NORCASIA;Norcasia
CALDAS;17662;SAMANÁ;Samaná
CALDAS;17867;VICTORIA;Victoria
CAQUETA;18029;ALBANIA;Albania
CAQUETA;18094;BELÉN DE LOS ANDAQUIES;Belén De Los Andaquies
CAQUETA;18150;CARTAGENA DEL CHAIRÁ;Cartagena Del Chairá
CAQUETA;18205;CURILLO;Currillo
CAQUETA;18247;EL DONCELLO;El Doncello
CAQUETA;18256;EL PAUJIL;El Paujil
CAQUETA;18001;FLORENCIA;Florencia
CAQUETA;18410;LA MONTAÑITA;La Montañita
CAQUETA;18460;MILaN;Milan
CAQUETA;18479;MORELIA;Morelia
CAQUETA;18592;PUERTO RICO;Puerto Rico
CAQUETA;18610;SAN JOSÉ DEL FRAGUA;San Jose Del Fragua
CAQUETA;18753;SAN VICENTE DEL CAGUÁN;San Vicente Del Caguán
CAQUETA;18756;SOLANO;Solano
CAQUETA;18785;SOLITA;Solita
CAQUETA;18860;VALPARAÍSO;Valparaiso
CASANARE;85010;AGUAZUL;Aguazul
CASANARE;85015;CHAMEZA;Chameza
CASANARE;85125;HATO COROZAL;Hato Corozal
CASANARE;85136;LA SALINA;La Salina
CASANARE;85139;MANÍ;Maní
CASANARE;85162;MONTERREY;Monterrey
CASANARE;85225;NUNCHÍA;Nunchía
CASANARE;85230;OROCUÉ;Orocué
CASANARE;85250;PAZ DE ARIPORO;Paz De Ariporo
CASANARE;85263;PORE;Pore
CASANARE;85279;RECETOR;Recetor
CASANARE;85300;SABANALARGA;Sabanalarga
CASANARE;85315;SÁCAMA;Sácama
CASANARE;85325;SAN LUIS DE PALENQUE;San Luis De Palenque
CASANARE;85400;TÁMARA;Támara
CASANARE;85410;TAURAMENA;Tauramena
CASANARE;85430;TRINIDAD;Trinidad
CASANARE;85440;VILLANUEVA;Villanueva
CASANARE;85001;YOPAL;Yopal
CAUCA;19130;CAJIBÍO;Cajibío
CAUCA;19256;EL TAMBO;El Tambo
CAUCA;19392;LA SIERRA;La Sierra
CAUCA;19473;MORALES;Morales
CAUCA;19548;PIENDAMÓ;Piendamo
CAUCA;19001;POPAYÁN;Popayán
CAUCA;19622;ROSAS;Rosas
CAUCA;19760;SOTARA;Sotara
CAUCA;19807;TIMBÍO;Timbio
CAUCA;19110;BUENOS AIRES;Buenos Aires
CAUCA;19142;CALOTO;Caloto
CAUCA;19212;CORINTO;Corinto
CAUCA;19455;MIRANDA;Miranda
CAUCA;19513;PADILLA;Padilla
CAUCA;19573;PUERTO TEJADA;Puerto Tejada
CAUCA;19698;SANTANDER DE QUILICHAO;Santander De Quilichao
CAUCA;19780;SUAREZ;Suarez
CAUCA;19845;VILLA RICA;Villa Rica
CAUCA;19318;GUAPI;Guapi
CAUCA;19418;LOPEZ;Lopez
CAUCA;19809;TIMBIQUÍ;Timbiqui
CAUCA;19137;CALDONO;Caldono
CAUCA;19355;INZÁ;Inzá
CAUCA;19364;JAMBALO;Jambalo
CAUCA;19517;PAEZ;Paez
CAUCA;19585;PURACE;Purace
CAUCA;19743;SILVIA;Silvia
CAUCA;19821;TORIBIO;Toribio
CAUCA;19824;TOTORÓ;Totoro
CAUCA;19022;ALMAGUER;Almaguer
CAUCA;19050;ARGELIA;Argelia
CAUCA;19075;BALBOA;Balboa
CAUCA;19100;BOLÍVAR;Bolívar
CAUCA;19290;FLORENCIA;Florencia
CAUCA;19397;LA VEGA;La Vega
CAUCA;19450;MERCADERES;Mercaderes
CAUCA;19532;PATÍA;Patia
CAUCA;19533;PIAMONTE;Piamonte
CAUCA;19693;SAN SEBASTIAN;San Sebastian
CAUCA;19701;SANTA ROSA;Santa Rosa
CAUCA;19785;SUCRE;Sucre
CESAR;20045;BECERRIL;Becerril
CESAR;20175;CHIMICHAGUA;Chimichagua
CESAR;20178;CHIRIGUANÁ;Chiriguana
CESAR;20228;CURUMANÍ;Curumaní
CESAR;20400;LA JAGUA DE IBIRICO;La Jagua De Ibirico
CESAR;20517;PAILITAS;Pailitas
CESAR;20787;TAMALAMEQUE;Tamalameque
CESAR;20032;ASTREA;Astrea
CESAR;20060;BOSCONIA;Bosconia
CESAR;20238;EL COPEY;El Copey
CESAR;20250;EL PASO;El Paso
CESAR;20013;AGUSTÍN CODAZZI;Agustín Codazzi
CESAR;20621;LA PAZ;La Paz
CESAR;20443;MANAURE;Manaure
CESAR;20570;PUEBLO BELLO;Pueblo Bello
CESAR;20750;SAN DIEGO;San Diego
CESAR;20001;VALLEDUPAR;Valledupar
CESAR;20011;AGUACHICA;Aguachica
CESAR;20295;GAMARRA;Gamarra
CESAR;20310;GONZÁLEZ;González
CESAR;20383;LA GLORIA;La Gloria
CESAR;20550;PELAYA;Pelaya
CESAR;20614;RÍO DE ORO;Río De Oro
CESAR;20710;SAN ALBERTO;San Alberto
CESAR;20770;SAN MARTÍN;San Martín
CHOCO;27050;ATRATO;Atrato
CHOCO;27073;BAGADÓ;Bagadó
CHOCO;27099;BOJAYA;Bojaya
CHOCO;27245;EL CARMEN DE ATRATO;El Carmen De Atrato
CHOCO;27413;LLORÓ;Lloró
CHOCO;27425;MEDIO ATRATO;Medio Atrato
CHOCO;27001;QUIBDÓ;Quibdó
CHOCO;27600;RIO QUITO;Rio Quito
CHOCO;27006;ACANDÍ;Acandí
CHOCO;27086;BELÉN DE BAJIRA;Belén De Bajira
CHOCO;27150;CARMEN DEL DARIEN;Carmén Del Darién
CHOCO;27615;RIOSUCIO;Riosucio
CHOCO;27800;UNGUÍA;Unguía
CHOCO;27075;BAHÍA SOLANO;Bahía Solano
CHOCO;27372;JURADÓ;Juradó
CHOCO;27495;NUQUÍ;Nuquí
CHOCO;27025;ALTO BAUDO;Alto Baudó
CHOCO;27077;BAJO BAUDÓ;Bajo Baudó
CHOCO;27250;EL LITORAL DEL SAN JUAN;El Litoral Del San Juan
CHOCO;27430;MEDIO BAUDÓ;Medio Baudó
CHOCO;27135;EL CANTÓN DEL SAN PABLO;Canton De San Pablo
CHOCO;27160;CERTEGUI;Certegui
CHOCO;27205;CONDOTO;Condoto
CHOCO;27361;ISTMINA;Itsmina
CHOCO;27450;MEDIO SAN JUAN;Medio San Juan
CHOCO;27491;NÓVITA;Nóvita
CHOCO;27580;RÍO FRÍO;Río Frío
CHOCO;27660;SAN JOSÉ DEL PALMAR;San José Del Palmar
CHOCO;27745;SIPÍ;Sipí
CHOCO;27787;TADÓ;Tadó
CHOCO;27810;UNIÓN PANAMERICANA;Union Panamericana
CORDOBA;23807;TIERRALTA;Tierralta
CORDOBA;23855;VALENCIA;Valencia
CORDOBA;23168;CHIMÁ;Chimá
CORDOBA;23300;COTORRA;Cotorra
CORDOBA;23417;LORICA;Lorica
CORDOBA;23464;MOMIL;Momil
CORDOBA;23586;PURÍSIMA;Purísima
CORDOBA;23001;MONTERÍA;Montería
CORDOBA;23090;CANALETE;Canalete
CORDOBA;23419;LOS CÓRDOBAS;Los Córdobas
CORDOBA;23500;MOÑITOS;Moñitos
CORDOBA;23574;PUERTO ESCONDIDO;Puerto Escondido
CORDOBA;23672;SAN ANTERO;San Antero
CORDOBA;23675;SAN BERNARDO DEL VIENTO;San Bernardo Del Viento
CORDOBA;23182;CHINÚ;Chinú
CORDOBA;23660;SAHAGÚN;Sahagún
CORDOBA;23670;SAN ANDRÉS SOTAVENTO;San Andrés Sotavento
CORDOBA;23068;AYAPEL;Ayapel
CORDOBA;23079;BUENAVISTA;Buenavista
CORDOBA;23350;LA APARTADA;La Apartada
CORDOBA;23466;MONTELÍBANO;Montelíbano
CORDOBA;23555;PLANETA RICA;Planeta Rica
CORDOBA;23570;PUEBLO NUEVO;Pueblo Nuevo
CORDOBA;23580;PUERTO LIBERTADOR;Puerto Libertador
CORDOBA;23162;CERETÉ;Cereté
CORDOBA;23189;CIÉNAGA DE ORO;Ciénaga De Oro
CORDOBA;23678;SAN CARLOS;San Carlos
CORDOBA;23686;SAN PELAYO;San Pelayo
CUNDINAMARCA;25183;CHOCONTÁ;Chocontá
CUNDINAMARCA;25426;MACHETA;Macheta
CUNDINAMARCA;25436;MANTA;Manta
CUNDINAMARCA;25736;SESQUILÉ;Sesquilé
CUNDINAMARCA;25772;SUESCA;Suesca
CUNDINAMARCA;25807;TIBIRITA;Tibirita
CUNDINAMARCA;25873;VILLAPINZÓN;Villapinzón
CUNDINAMARCA;25001;AGUA DE DIOS;Agua De Dios
CUNDINAMARCA;25307;GIRARDOT;Girardot
CUNDINAMARCA;25324;GUATAQUÍ;Guataquí
